,Time,weather,temparature,pm25,time_slotid,time_id,time_date
0,2016-01-01 00:00:28,1,4.0,177,2016-01-01-1,1,2016-01-01
1,2016-01-01 00:10:08,1,3.0,177,2016-01-01-2,2,2016-01-01
2,2016-01-01 00:20:06,1,3.0,177,2016-01-01-3,3,2016-01-01
3,2016-01-01 00:30:08,1,3.0,177,2016-01-01-4,4,2016-01-01
4,2016-01-01 00:40:04,1,3.0,177,2016-01-01-5,5,2016-01-01
5,2016-01-01 00:50:05,1,3.0,177,2016-01-01-6,6,2016-01-01
6,2016-01-01 01:00:01,1,3.0,177,2016-01-01-7,7,2016-01-01
7,2016-01-01 01:10:27,1,3.0,177,2016-01-01-8,8,2016-01-01
8,2016-01-01 01:20:23,1,3.0,177,2016-01-01-9,9,2016-01-01
9,2016-01-01 01:30:19,1,3.0,177,2016-01-01-10,10,2016-01-01
10,2016-01-01 01:40:21,1,3.0,206,2016-01-01-11,11,2016-01-01
11,2016-01-01 01:50:19,1,3.0,206,2016-01-01-12,12,2016-01-01
12,2016-01-01 02:00:18,1,3.0,206,2016-01-01-13,13,2016-01-01
13,2016-01-01 02:10:27,1,3.0,206,2016-01-01-14,14,2016-01-01
14,2016-01-01 02:20:22,1,3.0,206,2016-01-01-15,15,2016-01-01
15,2016-01-01 02:30:21,1,3.0,206,2016-01-01-16,16,2016-01-01
16,2016-01-01 02:40:20,1,3.0,206,2016-01-01-17,17,2016-01-01
17,2016-01-01 02:50:15,1,3.0,205,2016-01-01-18,18,2016-01-01
18,2016-01-01 03:00:11,1,3.0,205,2016-01-01-19,19,2016-01-01
19,2016-01-01 03:10:06,1,3.0,205,2016-01-01-20,20,2016-01-01
20,2016-01-01 03:20:02,1,3.0,205,2016-01-01-21,21,2016-01-01
21,2016-01-01 03:30:28,1,3.0,205,2016-01-01-22,22,2016-01-01
22,2016-01-01 03:40:24,1,3.0,195,2016-01-01-23,23,2016-01-01
23,2016-01-01 03:50:20,1,3.0,195,2016-01-01-24,24,2016-01-01
24,2016-01-01 04:00:16,1,3.0,195,2016-01-01-25,25,2016-01-01
25,2016-01-01 04:10:12,1,3.0,195,2016-01-01-26,26,2016-01-01
26,2016-01-01 04:20:07,1,3.0,195,2016-01-01-27,27,2016-01-01
27,2016-01-01 04:30:03,1,3.0,195,2016-01-01-28,28,2016-01-01
28,2016-01-01 04:40:29,1,3.0,195,2016-01-01-29,29,2016-01-01
29,2016-01-01 04:50:25,1,3.0,184,2016-01-01-30,30,2016-01-01
30,2016-01-01 05:00:20,1,3.0,184,2016-01-01-31,31,2016-01-01
31,2016-01-01 05:10:15,1,3.0,184,2016-01-01-32,32,2016-01-01
32,2016-01-01 05:20:06,1,3.0,184,2016-01-01-33,33,2016-01-01
33,2016-01-01 05:30:05,1,2.0,184,2016-01-01-34,34,2016-01-01
34,2016-01-01 05:40:03,1,2.0,184,2016-01-01-35,35,2016-01-01
35,2016-01-01 05:50:01,1,2.0,184,2016-01-01-36,36,2016-01-01
36,2016-01-01 06:00:30,1,2.0,184,2016-01-01-37,37,2016-01-01
37,2016-01-01 06:10:25,1,2.0,184,2016-01-01-38,38,2016-01-01
38,2016-01-01 06:20:05,1,2.0,184,2016-01-01-39,39,2016-01-01
39,2016-01-01 06:30:03,1,2.0,184,2016-01-01-40,40,2016-01-01
40,2016-01-01 06:40:30,1,2.0,181,2016-01-01-41,41,2016-01-01
41,2016-01-01 06:50:26,1,2.0,181,2016-01-01-42,42,2016-01-01
42,2016-01-01 07:00:22,1,2.0,181,2016-01-01-43,43,2016-01-01
43,2016-01-01 07:10:21,1,2.0,181,2016-01-01-44,44,2016-01-01
44,2016-01-01 07:20:16,1,2.0,181,2016-01-01-45,45,2016-01-01
45,2016-01-01 07:30:12,1,2.0,181,2016-01-01-46,46,2016-01-01
46,2016-01-01 07:40:11,8,2.0,175,2016-01-01-47,47,2016-01-01
47,2016-01-01 07:50:10,8,2.0,175,2016-01-01-48,48,2016-01-01
48,2016-01-01 08:00:15,8,2.0,175,2016-01-01-49,49,2016-01-01
